,synopsis,title
1265,"The familiar story of Lieutenant Bligh, whose cruelty leads to a mutiny on his ship. This version follows both the efforts of Fletcher Christian to get his men beyond the reach of British retribution, and the epic voyage of Lieutenant Bligh to get his loyalists safely to East Timor in a tiny lifeboat.",The Bounty
1266,No overview found.,Volpone
1267,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,Signs
1268,"After a freak accident, an invisible yuppie runs for his life from a treacherous CIA official while trying to cope with his new life.",Memoirs of an Invisible Man
1269,A Parisian policeman gives up everything for the love of a free-living sex worker.,Irma la Douce
1270,"Junior congressman Evan Baxter, whose wish is to ""change the world"" is heard by none other than God. When God appears with the perplexing request to build an ark, Evan is sure he is losing it.",Evan Almighty
1271,"King of the Persians,  summons his attractive wife Vashti, to show off her beauty to the guests, the proud queen refuses to come. The king promptly bans her from ever entering his presence again, and gives orders for the most beautiful young virgins in the land to be brought to him. The young Jewess Esther, adopted daughter of her uncle Mordecai, is among the girls selected;",Esther
1272,"This engrossing dramatization of the life of Abraham, the most tested servant of God and the father of Judaism, spans from the patriarch's quest for the Promised Land to the sacrifice of his son, Isaac.",Abraham
1273,"Director Roger Young (JOSEPH AND JESUS) presents this dramatic television miniseries that recounts the life of Paul (Johannes Brandrup) the Apostle of Jesus Christ. Originally known as Saul of Tarsus, Paul tortured and persecuted Christians until he experienced a vision of Jesus that forever changed his life. After converting to Christianity, Paul suffered persecution and imprisonment, but never stopped trying to spread the teachings of Christ. Notably, this program was shot on location in the Moroccan desert.",St. Paul
1274,"In this inspiring tale from the book of Genesis, young shepherd Jacob (Matthew Modine) falls in love with and wants to marry Rachel (Lara Flynn Boyle), the daughter of his Uncle Laban (Giancarlo Giannini). Lacking a dowry, Jacob toils seven years as his uncle's indentured servant to win Rachel's hand. But calculating Laban dupes him into another seven years of labor. Irene Papas portrays Jacob's iron-willed mother.",Jacob
1275,"An ordinary man is called upon by God to do the impossible in this lovingly told production of the Old Testament story. When the Pharaoh of Egypt begins to tighten the noose on his Jewish slaves, Moses (Ben Kingsley) leads them to freedom. Philip Stone, Anthony Higgins, Anton Lesser and Anita Zagaria are featured in this award-winning installment from TNT's ""greatest stories of the Bible"" series directed by Roger Young.",Moses
1276,"The story begins with a regular Joe who tries desperately to seek employment, but embarks on a violent rampage when he teams up with cult leader Uncle Dave. Their first act is to heist an amusement park, only to learn that the Taliban are planning the same heist as well. Chaos ensues, and now the Postal Dude must not only take on terrorists but also political figures.",Postal
1277,"The tribes of Israel need to defeat the superior might of the Philistines: ""Now appoint a king to lead us, such as all the other nations have."" (I Samuel, 8:5). And so the prophet Samuel gives the Hebrews their first king, Saul.  Saul, however, has incessant doubts about his mission. The influential prophet Samuel turns away from Saul in order to select a new king according to God's will: David. He is still a young boy, tending sheep in the fields, when, secretly Samuel oints him as the next king of the Israelites.",David
1278,No overview found.,Monsieur seul
1279,"Blank-faced bug killer Bill Lee and his dead-eyed wife, Joan, like to get high on Bill's pest poisons while lounging with Beat poet pals. After meeting the devilish Dr. Benway, Bill gets a drug made from a centipede. Upon indulging, he accidentally kills Joan, takes orders from his typewriter-turned-cockroach, ends up in a constantly mutating Mediterranean city and learns that his hip friends have published his work -- which he doesn't remember writing.",Naked Lunch
1280,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""",15 Minutes
1281,"Manchester, 1976. Tony Wilson is an ambitious but frustrated local TV news reporter looking for a way to make his mark. After witnessing a life-changing concert by a band known as the Sex Pistols, he persuades his station to televise one of their performances, and soon Manchester's punk groups are clamoring for him to manage them. Riding the wave of a musical revolution, Wilson and his friends create the legendary Factory Records label and The Hacienda club.",24 Hour Party People
1282,Three stories of people in distress that interlock.,3 Misses
1283,"Matt Sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. Then came Lent, that time of year when everybody gives something up. That's when Matt decides to go where no man's gone before and make a vow: No sex. Whatsoever. For 40 straight days. At first he has everything under control. That is until the woman of his dreams, Erica, walks into his life.",40 Days and 40 Nights
1284,"66-year-old Warren Schmidt is a retired insurance salesman and has no particular plans other than to drive around in the motor home his wife insisted they buy. He's not altogether bitter, but not happy either, as everything his wife does annoys him, and he disapproves of the man his daughter is about to marry. When his wife suddenly dies, he sets out to postpone the imminent marriage of his daughter to a man he doesn't like, while coping with discoveries about his late wife and himself in the process.",About Schmidt
1285,"A civilian oil rig crew is recruited to conduct a search and rescue effort when a nuclear submarine mysteriously sinks. One diver soon finds himself on a spectacular odyssey 25,000 feet below the ocean's surface where he confronts a mysterious force that has the power to change the world or destroy it.",The Abyss
1286,"Nicolas Cage is Charlie Kaufman, a confused L.A. screenwriter overwhelmed by feelings of inadequacy, sexual frustration, self-loathing, and by the screenwriting ambitions of his freeloading twin brother Donald. While struggling to adapt ""The Orchid Thief,"" by Susan Orlean, Kaufman's life spins from pathetic to bizarre. The lives of Kaufman, Orlean's book, become strangely intertwined as each one's search for passion collides with the others'.",Adaptation.
1287,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.",Addams Family Values
1288,"Two drag queens and a transgender woman contract to perform a drag show at a resort in Alice Springs, a town in the remote Australian desert. As they head west from Sydney aboard their lavender bus, Priscilla, the three friends come to the forefront of a comedy of errors, encountering a number of strange characters, as well as incidents of homophobia, whilst widening comfort zones and finding new horizons.","The Adventures of Priscilla, Queen of the Desert"
1289,"London. A mysterious serial killer brutally murders young blond women by stalking them in the night fog. One foggy, sinister night, a young man who claims his name is Jonathan Drew arrives at the guest house run by the Bunting family and rents a room.",The Lodger: A Story of the London Fog
1290,"After three British agents are assigned to assassinate a mysterious German spy during World War I, two of them become ambivalent when their duty to the mission conflicts with their consciences.",Secret Agent
1291,"Robert Tisdall finds on the beach the corpse of a woman he knew. Others wrongly conclude that he is the murderer. Fleeing, he desperately attempts to prove that he is not the killer. A young woman becomes embroiled in the effort.",Young and Innocent
1292,"Julian makes a lucrative living as an escort to older women in the Los Angeles area. He begins a relationship with Michelle, a local politician's wife, without expecting any pay. One of his clients is murdered and Detective Sunday begins pumping him for details on his different clients, something he is reluctant to do considering the nature of his work. Julian begins to suspect he's being framed. Meanwhile Michelle begins to fall in love with him.",American Gigolo
1293,"Jerry Mulligan is an exuberant American expatriate in Paris trying to make a reputation as a painter. His friend Adam is a struggling concert pianist who's a long time associate of a famous French singer, Henri Baurel. A lonely society woman, Milo Roberts, takes Jerry under her wing and supports him, but is interested in more than his art.",An American in Paris
1294,"After a year apart - attending different schools, meeting different people - the guys rent a beach house and vow to make this the best summer ever. As it turns out, whether that will happen or not has a lot to do with the girls. Between the wild parties, outrageous revelations and yes, a trip to band camp, they discover that times change and people change, but in the end, it's all about sticking together.",American Pie 2
1295,An original mix of fiction and reality illuminates the life of comic book hero everyman Harvey Pekar.,American Splendor
1296,No overview found.,Florida - Der Sonnenstaat
1297,No overview found.,Ägypten - Nil und Pyramiden
1298,No overview found.,Nationalparks der USA
1299,No overview found.,Karibik Träume
1300,No overview found.,Die Inseln Hawaii
1301,"When his brother asks him to look after his young son, Clifford, Martin Daniels agrees, taking the boy into his home and introducing him to his future wife, Sarah. Clifford is fixated on the idea of visiting a famed theme park, and Martin, an engineer who helped build the park, makes plans to take him. But, when Clifford reveals himself to be a first-rate brat, his uncle goes bonkers, and a loony inter-generational standoff ensues.",Clifford
1302,"CW Briggs is a veteran insurance investigator, with many successes. Betty Ann Fitzgerald is a new employee in the company he works for, with the task of reorganizing the office. They don't like each other - or at least that's what they think. During a night out with the rest of the office employees, they go to watch Voltan, a magician who secretly hypnotizes both of them.",The Curse of the Jade Scorpion
1303,"When their ship crash-lands on a remote planet, the marooned passengers soon learn that escaped convict Riddick isn't the only thing they have to fear. Deadly creatures lurk in the shadows, waiting to attack in the dark, and the planet is rapidly plunging into the utter blackness of a total eclipse. With the body count rising, the doomed survivors are forced to turn to Riddick with his eerie eyes to guide them through the darkness to safety. With time running out, there's only one rule: Stay in the light.",Pitch Black
1304,"A small circle of friends suffering from post-collegiate blues must confront the hard truth about life, love and the pursuit of gainful employment. As they struggle to map out survival guides for the future, the Gen-X quartet soon begins to realize that reality isn't all it's cracked up to be.",Reality Bites
1305,"After years of outrunning ruthless bounty hunters, escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now, waging incredible battles on fantastic and deadly worlds, this lone, reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation.",The Chronicles of Riddick
1306,"After their narrow escape at the end of ""Pitch Black,""  Riddick, Jack and the Imam find themselves at the mercy of a madwoman who intends to entomb Riddick forever as part of a twisted art exhibit.  With little but a shiv and Riddick's innate viciousness to aid them, Riddick and his allies must find a way to escape from their captor and her band of mercenaries.",The Chronicles of Riddick: Dark Fury
1307,No overview found.,Voglia di Volare
1308,"Sarah Huttinger's return home with her fiance convinces her that the sedate, proper, country-club lifestyle of her family isn't for her – and that maybe the Huttinger family isn't even hers – as she uncovers secrets that suggest the Huttingers are neither sedate nor proper.",Rumor Has It...
1309,Jakob Yzermans is an American salesman looking for his roots in Rotterdam. He thinks his father (Hendrik Yzermans) has left Holland with the money he took from his collegues. Jakob is trying to get the money together to repay the money. While doing so he encounters more and more problems.,De Arm Van Jezus
1310,No overview found.,De IJzeren Hond
1311,Documentary about the Dutch punkband 'De Klojos'. and it sucks bigtime,Jongens van de Landbouwschool
1312,No overview found.,Les oiseaux de la lune
1313,No overview found.,Groupe Flag: Vrai ou faux
1314,"When a young man agrees to housesit for his boss, he thinks it'll be the perfect opportunity to get close to the woman he desperately has a crush on – his boss's daughter. But he doesn't plan on the long line of other houseguests that try to keep him from his mission. And he also has to deal with the daughter's older brother, who's on the run from local drug dealers.",My Boss's Daughter
1315,"Complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. As their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is.",Identity
1316,"Marseille. The director of a company offers a promotion to Francois (Michel Creton) if he accepts to help him fire all the staff from his office. If he refuses, he will himself be fired. Francois opts for the latter. He registers as unemployed and discovers what he has lacked so far in his life: a certain freedom. His habits are changing as well as his attitude towards the others changes ... Luce (Claude Jade), his wife, and Marquerite (Courtois Queen), her stepmother, are surprised: why he is not  himself anymore?",Fou comme François
1317,"A postman in a small mountain village finds a woman and her son both dead in the ""grotte aux loups"" (cave of wolves). He soon begins to realize than it's not natural death, and that someone in the village in behind their murder, while tragic events occur.",La grotte aux loups
1318,"In the spring of 1913, Parisian businessman Gabriel Astruc opens a new theater on the Champs Elysées. The first performance is the premiere of Igor Stravinsky's 'The Rite of Spring', danced by the Ballet Russes. The rehearsal process is extremely fraught: the orchestra dislike Stravinsky's harsh, atonal music; the dancers dislike the 'ugly' choreography of Vaslav Nijinsky. The volatile, bisexual Nijinsky is in a strained relationship with the much older Sergei Diaghilev, the Ballet Russes' charismatic but manipulative impresario. Public expectation is extremely high after Nijinsky's success in 'L'apres-midi d'un faune'. Finally, 'The Rite of Spring' premieres to a gossip-loving, febrile, fashion-conscious Parisian audience sharply divided as to its merits.",Riot at the Rite
1319,No overview found.,Coda
1320,No overview found.,Prélude
1321,No overview found.,Stuart Dee
1322,An alcoholic married man discovers he has fallen out of love with his moody wife.,Half Past Ten
1323,No overview found.,Der Mann im Keller
1324,The story of the discovery of the AIDS epidemic and the political infighting of the scientific community hampering the early fight with it.,And the Band Played On
1325,"Based on the autobiographical work of New Zealand writer Janet Frame, this production depicts the author at various stage of her life. Afflicted with mental and emotional issues, Frame grows up in an impoverished family and experiences numerous tragedies while still in her youth, including the deaths of two of her siblings. Portrayed as an adult by Kerry Fox, Frame finds acclaim for her writing while still in a mental institution, and her success helps her move on with her life.",An Angel at My Table
1326,Two schizophrenics meet during therapy and fall in love. Unfortunately they are on a road to nowhere...,Angel Baby
1327,"After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio.",The Apostle
1328,"Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days.",Around the World in Eighty Days
1329,"New York City. Melvin Udall, a cranky, bigoted, obsessive-compulsive writer, finds his life turned upside down when neighboring gay artist Simon is hospitalized and his dog is entrusted to Melvin. In addition, Carol, the only waitress who will tolerate him, must leave work to care for her sick son, making it impossible for Melvin to eat breakfast.",As Good as It Gets
1330,"When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life, he decides to take a desk job in order to see his beautiful wife, Jillian, more often. Gradually, Jillian notices that Spencer's personality seems to have changed, but her concerns fade when she discovers that she's pregnant. As Jillian grows closer to becoming a mother, her suspicions about Spencer return. Why does it seem as if he's a different person?",The Astronaut's Wife
1331,No overview found.,Atash
1332,"When a man claiming to be long-lost Uncle Fester reappears after 25 years lost, the family plans a celebration to wake the dead. But the kids barely have time to warm up the electric chair before Morticia begins to suspect Fester is fraud when he can't recall any of the details of Fester's life.",The Addams Family
1333,Different factions in WWII-era Holland race to find a stash of Nazi gold.,The Last Drop
1334,"When wistful introvert Alan Furnace meets quick-witted bombshell Beatrice, he has no idea of her secret life as ""B. Monkey"" -- the top thief-for-hire in London's criminal underworld. Charmed by Furnace's innocent and chivalrous ways, Beatrice resolves to reform. But to cash in on her first chance at real love, she must escape her former partner in crime, the ruthless Paul Neville -- and a dark past that seems to haunt her every step.",B. Monkey
1335,Firemen brothers Brian and Stephen McCaffrey battle each other over past slights while trying to stop an arsonist with a diabolical agenda from torching Chicago.,Backdraft
1336,"After years of helping their hubbies climb the ladder of success, three mid-life Manhattanites have been dumped for a newer, curvier model. But the trio is determined to turn their pain into gain. They come up with a cleverly devious plan to hit their exes where it really hurts - in the wallet!",The First Wives Club
1337,"The young D'Artagnan arrives in Paris with dreams of becoming a king's musketeer. He meets and quarrels with three men, Athos, Porthos, and Aramis, each of whom challenges him to a duel. D'Artagnan finds out they are musketeers and is invited to join them in their efforts to oppose Cardinal Richelieu, who wishes to increase his already considerable power over the king. D'Artagnan must also juggle affairs with the charming Constance Bonancieux and the passionate Lady De Winter, a secret agent for the cardinal.",The Three Musketeers
1338,"Year 2038: The mineral resources of the earth are drained, in space there are fights for the last deposits on other planets and satellites. This is the situation when one of the bigger mining corporations has lost all but one mineral moons and many of their fully automatic mining robots are disappearing on their flight home. Since nobody else wants the job, they send prisoners to defend the mining station. Among them undercover agent Stone, who shall clear the whereabouts of the expensive robots. In an atmosphere of corruption, fear and hatred he gets between the fronts of rivaling groups.",Moon 44
1339,Tabloid reporters are sent by their editor to investigate after the paper recieves a letter from a woman claiming an angel is living with her.,Michael
1340,"Frankenstein, a young medical student, trying to create the perfect human being, instead creates a misshapen monster. Made ill by what he has done, Frankenstein is comforted by his fiancée; but on his wedding night he is visited by the monster.",Frankenstein
1341,No overview found.,The Mysterious Book
1342,"Newly engaged, Ben and Sadie can't wait to start their life together and live happily ever after. However Sadie's family church's Reverend Frank won't bless their union until they pass his patented, ""foolproof"" marriage prep course consisting of outrageous classes, outlandish homework assignments and some outright invasion of privacy.",License to Wed
1343,No overview found.,The Destruction of Mankind
1344,"In the 19th century, an expert marine biologist is hired by the government to determine what's sinking ships all over the ocean. His daughter follows him. They are intercepted by a mysterious captain Nemo and his incredible submarine.","20,000 Leagues Under the Sea"
1345,"Pleasantly plump teenager Tracy Turnblad auditions to be on Baltimore's most popular dance show - The Corny Collins Show - and lands a prime spot. Through her newfound fame, she becomes determined to help her friends and end the racial segregation that has been a staple of the show.",Hairspray
1346,A biographical portrait of a pre-fame Jane Austen and her romance with a young Irishman.,Becoming Jane
1347,"Five years after they defeated Gozer, the Ghostbusters are out of business. When Dana begins to have ghost problems again, the boys come out of retirement to aid her and hopefully save New York City from a new paranormal threat.",Ghostbusters II
1348,"The mile high city is rocked when an ancient Egyptian menace comes to town, and the Denver Ghostbusters must return to save the universe once more.",Return of the Ghostbusters
1349,The first film adaptation of Sir Arthur Conan Doyle's classic novel about a land where prehistoric creatures still roam.,The Lost World
1350,Professor Challenger leads an expedition of scientists and adventurers to a remote plateau deep in the Amazonian jungle to verify his claim that dinosaurs still live there.,The Lost World
1351,"Unfazed by ridicule from fellow scientists, professor Challenger (John Rhys-Davies) leads an expedition to investigate rumored sightings of prehistoric life still thriving in the unexplored African jungle. He's joined by a thrill-seeking journalist, his archrival and a beautiful adventurer on a perilous trek through mysterious and uncharted territory, filled with danger and deception. David Warner, Eric McCormack and Tamara Gorski co-star.",The Lost World
1352,A Russian countess stows away in the stateroom of a married U.S. diplomat bound for New York.,A Countess from Hong Kong
1353,"Vietnam war hero, accused of murdering his brother, recruits his socialite girlfriend to hunt for the real killer.",Tiger by the Tail
1354,"Cutter Murdock inherits an estate in Africa on which ""Satan's Harvest"" (heroin and marijuana) is grown. The thugs growing the drugs want him out of the way, so things get messy.",Satan's Harvest
1355,No overview found.,Mr. Kingstreet's War
1356,"At fictional Harrad College students learn about sexuality and experiment with each other. Based on the 1962 book of the same name by Robert Rimmer, this movie deals with the concept of free love during the height of the sexual revolution which took place in the United States.",The Harrad Experiment
1357,Roar follows a family who are attacked by various African animals at the secluded home of their keeper.,Roar
1358,A couple works hard to renovate their dream house and become landlords to pay for it. Unfortunately one of their tenants has plans of his own.,Pacific Heights
1359,"The guests of the Station Hotel have assembled to play a game of cards. The loser will sleep in room 207, a room rumored to be haunted. It hasn't been slept in for 20 years.  As their lives tangle in a paranoid deadlock, the only escape becomes murder.",Appetite
1360,The British send an American and a war hero to kidnap and hide an oil-country prince.,Masquerade
1361,"Arthur Conan Doyle's ""Lost World"" performed live as a filmed audio drama.",The Lost World
1362,A scientist discovers dinosaurs on a remote plateau in Mongolia.,The Lost World
1363,"An epic portrait of late Sixties America, as seen through the portrayal of two of its children: anthropology student Daria (who's helping a property developer build a village in the Los Angeles desert) and dropout Mark (who's wanted by the authorities for allegedly killing a policeman during a student riot)...",Zabriskie Point
1364,A woman must steal a statue from a Paris museum to help conceal her father's art forgeries.,How to Steal a Million
1365,No overview found.,The Lost World
1366,"This Lost World is a splendid BBC TV dramatisation of Sir Arthur Conan Doyle's famous adventure story. Bob Hoskins makes an unusually genial Professor Challenger, far less of a bully than Doyle's character, but his slightly stereotyped companions are nicely filled out by a solid cast. James Fox is Challenger's more timid but still covertly adventurous rival, Tom Ward is the moustachioed big game hunter who faces an Allosaurus with an elephant gun, and Matthew Rhys plays the tagalong reporter hoping to impress his faithless fiancée.",The Lost World
1367,"Mario, a young philanderer, receives 13 antique chairs in a bad state by inheritance and decides to sell off them to get some money. Afterwards he gets to know that one of them contains documents worth a lot of money. So he begins an adventurous trip to regain possession of the chair. On the way he meets many strange people who would like to help or to swindle him.",Twelve Plus One
1368,No overview found.,Dr. Jekyll and Mr. Hyde
1369,A female traveling companion seduces a married man and his alcoholic wife.,10:30 P.M. Summer
1370,"An unassuming office worker is arrested and stands trial, but he is never made aware of his charges.",The Trial
1371,"A young Catholic priest from Boston confronts bigotry, Nazism, and his own personal conflicts as he rises to the office of cardinal.",The Cardinal
1372,"To help his divorced neighbor claim a substantial inheritance, a family man poses as her husband. The ruse spills over into his career in advertising, and his recent promotion relies on his wholesome and moral appearance.",Good Neighbor Sam
1373,"Intercutting dramatic vignettes with newsreel footage, the story follows the characters from an infantry squad as they make their way from Sicily to Germany during the end of World War II.",The Victors
1374,"When her father is murdered, a cosmetics heiress becomes the next target of an unknown killer amid the international jet set.",Bloodline
1375,A British woman on a visit to post-war Berlin is caught up in an espionage ring smuggling secrets into and out of the Eastern Bloc.,The Man Between
1376,A doctor's research into the roots of evil turns him into a hideous depraved fiend.,Dr. Jekyll and Mr. Hyde
1377,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",Dr. Jekyll and Mr. Hyde
1378,"Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two, man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug, it is already too late.",Dr. Jekyll and Mr. Hyde
1379,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",1408
1380,"Dr. Jekyll believes good and evil exist in everyone and creates a potion that allows his evil side, Mr. Hyde, to come to the fore. He faces horrible consequences when he lets his dark side run amok.",Dr. Jekyll and Mr. Hyde
1381,"Abbott and Costello, two bumbling American cops on exchange in London, hunt for Mr. Hyde—the monster that has been terrorizing the city.",Abbott and Costello Meet Dr. Jekyll and Mr. Hyde
1382,"In this Dan Curtis production of the Robert Louis Stevenson classic, Jack Palance stars as Dr. Henry Jekyll, a scientist experimenting to reveal the hidden, dark side of man, who, in the process of his experiment, releases a murderer from within himself.",The Strange Case of Dr. Jekyll and Mr. Hyde
1383,"After a series of scientific experiments directed towards freeing the inner man and controlling human personalities, the kindly, generous Dr Henry Jekyll succeeds in freeing his own alter ego, Edward Hyde, a sadistic, evil creature whose pleasure is murder.",The Two Faces of Dr. Jekyll
1384,"Musical version of the story in which Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",Dr. Jekyll and Mr. Hyde
1385,Dr. Jekyll (Mark Blankfield) inhales white powder and becomes an obnoxious Southern Californian.,Jekyll and Hyde ... Together Again
1386,"After witnessing a man's death in a bizzare accident, Father Pergado goes on a spiritual retreat, where he encounters his alien double bent on world conquest.",End of the World
1387,"An obsessed scientist conducts profane experiments in evolution, eventually establishing himself as the self-styled demigod to a race of mutated, half-human abominations.",Island of Lost Souls
1388,No overview found.,Angel in Green
1389,"It's 1957, and James Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",Gods and Monsters
1390,"A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.",Young Frankenstein
1391,"Dr. Henry Frankenstein attempts to create life by assembling a creature from body parts of the deceased. Aided by his loyal misshapen assistant, Fritz, Frankenstein succeeds in animating his monster, but, confused and traumatized, it escapes into the countryside and begins to wreak havoc. Frankenstein searches for the elusive being, and eventually must confront his tormented creation.",Frankenstein
1392,"Based on Mary Shelley's novel, ""Frankenstein"" tells the story of Victor Frankenstein, a promising young doctor who, devastated by the death of his mother during childbirth, becomes obsessed with bringing the dead back to life. His experiments lead to the creation of a monster, which Frankenstein has put together with the remains of corpses. It's not long before Frankenstein regrets his actions.",Mary Shelley's Frankenstein
1393,"In the early 19th century, Dr. Frankenstein (Patrick Bergin, Sleeping with the Enemy) discovers the secret of life – how to create a perfect man – powerful, intelligent and immune to disease. But something goes wrong in the laboratory and the doctor’s hideous creation (Randy Quaid, National Lampoon’s Vacation) disappears into the night. At first, Frankenstein hoped that the horrible monster would perish in the wilderness, but now he senses that it’s alive and sets out for him. Dr. Frankenstein tracks the creature to the Arctic, where the two must battle to decide who will become the master of the other’s life…or death. “Nobody’s ever done a Frankenstein like this one and nobody’s ever done a better one” (Houston Chronicle).",Frankenstein
1394,"Within the decadent walls of the Frankenstein mansion, the Baron and his depraved assistant Otto have discovered the means of creating new life. As the Baron's laboratory begins to fill up with stitched body parts, the Baroness dallies with the randy new manservant and soon the decadent, permissive household is consumed by an outrageous, bizarre, and hilarious orgy of death and dismemberment.",Flesh for Frankenstein
1395,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!",Ace Ventura: Pet Detective
1396,"A successful physician and devoted family man, John Dolittle seems to have the world by the tail, until a long suppressed talent he possessed as a child, the ability to communicate with animals is suddenly reawakened with a vengeance! Now every creature within squawking distance wants the good doctor's advice, unleashing an outrageous chain of events that turns his world upside down!",Doctor Dolittle
1397,A French nobleman deserts his wife because of an ancient family secret.,Eye of the Devil
1398,"New York tourist Tony Curtis falls asleep on a Southern California beach on his first night in the West and wakes up to The New Phantasmagoria--catamarans, surfers (including a dog), bodybuilders, acrobats, motorcycle chicken races, a nut fishing in the shallows . . . and Sharon Tate as a skydiver named Malibu who gives Curtis the rapture of artificial respiration when he is conked on the head by a flying surfboard.",Don't Make Waves
1399,"A noted professor and his dim-witted apprentice fall prey to their inquiring vampires, while on the trail of the ominous damsel in distress.",The Fearless Vampire Killers
1400,"When Count Contini attempts to destroy the world's economy by masterminding the theft of $1 billion in U.S. gold, ICE chief MacDonald summons secret agent Matt Helm to stop him.",The Wrecking Crew
1401,"In New York City, bright but naive New Englander Anne Welles becomes a secretary at a theatrical law firm, where she falls in love with attorney Lyon Burke. Anne befriends up-and-coming singer Neely O'Hara, whose dynamic talent threatens aging star Helen Lawson and beautiful but talentless actress Jennifer North. The women experience success and failure in love and work, leading to heartbreak, addiction and tragedy.",Valley of the Dolls
1402,An investigation into a serial killer leads two detectives to discover that Dr. Frankenstein and his creature are still alive after two centuries of genetic experiments.,Frankenstein
1403,"The story of a poor young woman, separated by prejudice from her husband and baby, is interwoven with tales of intolerance from throughout history.",Intolerance: Love's Struggle Throughout the Ages
1404,"The story of an idle rich boy who joins the US Army's Rainbow Division and is sent to France to fight in World War I, becomes friends with two working class men, experiences the horrors of trench warfare, and finds love with a French girl.",The Big Parade
1405,"John, an ambitious but undisciplined New York City office worker, meets and marries Mary. They start a family, struggle to cope with marital stress, financial setbacks, and tragedy, all while lost amid the anonymous, pitiless throngs of the big city.",The Crowd
1406,"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star.",42nd Street
1407,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,Duck Soup
1408,"Louie Jeffries is happily married to Corinne. On their first anniversary, Louie is killed crossing the road. Louie is reincarnated as Alex Finch, and twenty years later, fate brings Alex and Louie's daughter, Miranda, together. It's not until Alex is invited to Louie's home that he begins to remember his former life, wife and best friend. Of course, there's also the problem that he's attracted to Louie's/his own daughter.",Chances Are
1409,"The mad and evil scientist, Dr. Clayton Forrester, has created an evil little scheme that is bound to give him world global domination but first things first. He plans to torment Mike Nelson and the robots by sending them a real stinker of a film to watch called, ""This Island Earth."" He is convinced that this movie will drive them insane. Will this be the ultimate cheese that breaks the boys' spirits?",Mystery Science Theater 3000: The Movie
1410,"A scientist who is obsessed with creating life finally does it, with tragic results.",Frankenstein
1411,"A scientist obsessed with creating life steals body parts to put together his ""creation."" Released as a feature on video, this was originally shown on in two installments on TV as part of the Wide World of Entertainment series.",Frankenstein
1412,"The latest psychiatrist assigned to assess whether inmate Victor Frank is mentally fit to stand trial for murder gives up in frustration and so the asylum head Dr Robert Walton steps in to do the job. Frank tells Walton his story. He was a scientist experimenting in the field of nanotechnology. Using nanobots that were capable of rebuilding the human body, Frank and his team had great success in helping the crippled, wheelchair-ridden Bryce Daniels regain use of his faculties. But then Bryce started to become unstable...",Frankenstein Reborn
1413,No overview found.,Frankenstein
